primary key,probability,target values
9000001,4.9804174e-05,0
9000002,3.4567205e-05,0
9000003,3.6292372e-06,0
9000004,1.1177697e-05,0
9000005,7.4639806e-06,0
9000006,1.1944268e-05,0
9000007,0.00011027732,0
9000008,4.962853e-06,0
9000009,1.48124245e-05,0
9000010,4.1250278e-06,0
9000011,4.9223636e-05,0
9000012,0.00011951707,0
9000013,0.003861019,0
9000014,1.5767653e-05,0
9000015,0.0019479777,0
9000016,7.671817e-06,0
9000017,7.332298e-05,0
9000018,1.8887413e-05,0
9000019,1.551524e-05,0
9000020,1.149429e-05,0
9000021,1.588599e-06,0
9000022,3.5376586e-05,0
9000023,1.131718e-05,0
9000024,5.382004e-06,0
9000025,6.31201e-06,0
9000026,5.5329776e-05,0
9000027,5.11407e-06,0
9000028,4.000956e-06,0
9000029,2.3574932e-05,0
9000030,6.630572e-06,0
9000031,2.9387782e-05,0
9000032,2.108377e-05,0
9000033,6.261916e-06,0
9000034,7.052202e-05,0
9000035,4.255874e-05,0
9000036,7.8528894e-05,0
9000037,4.7765093e-06,0
9000038,0.00012052178,0
9000039,1.9222492e-05,0
9000040,3.4167853e-05,0
9000041,6.0761677e-06,0
9000042,0.00012138205,0
9000043,4.671481e-06,0
9000044,1.3978561e-05,0
9000045,8.5480415e-06,0
9000046,1.19844435e-05,0
9000047,9.799216e-06,0
9000048,7.234906e-06,0
9000049,4.035856e-06,0
9000050,1.1695401e-05,0
9000051,2.947549e-05,0
9000052,6.88438e-06,0
9000053,5.911895e-05,0
9000054,5.663084e-06,0
9000055,3.1497613e-05,0
9000056,4.4311623e-06,0
9000057,1.1414603e-05,0
9000058,1.740097e-05,0
9000059,1.1127082e-05,0
9000060,2.212588e-05,0
9000061,5.0581066e-06,0
9000062,1.575599e-05,0
9000063,6.17299e-05,0
9000064,6.300938e-05,0
9000065,1.7886154e-06,0
9000066,1.1123508e-05,0
9000067,2.1841954e-05,0
9000068,1.7322654e-05,0
9000069,9.988418e-06,0
9000070,3.0336298e-05,0
9000071,8.345737e-06,0
9000072,0.00019337758,0
9000073,3.6545913e-05,0
9000074,3.0162262e-05,0
9000075,1.5050778e-05,0
9000076,1.55799e-05,0
9000077,1.1083777e-05,0
9000078,2.0603861e-06,0
9000079,0.00011918826,0
9000080,6.0454608e-05,0
9000081,4.2637792e-05,0
9000082,1.5126176e-05,0
9000083,4.731521e-06,0
9000084,2.9610285e-06,0
9000085,1.0534062e-05,0
9000086,2.6619787e-06,0
9000087,1.0347296e-05,0
9000088,6.264021e-05,0
9000089,0.00010392683,0
9000090,6.5474956e-06,0
9000091,3.919362e-05,0
9000092,6.808344e-05,0
9000093,4.3484365e-06,0
9000094,3.917977e-06,0
9000095,3.225324e-05,0
9000096,4.593688e-05,0
9000097,1.8028715e-05,0
9000098,0.00011135176,0
9000099,3.7777663e-06,0
9000100,9.81068e-05,0
9000101,9.927915e-06,0
9000102,7.427387e-05,0
9000103,2.34261e-05,0
9000104,2.1533684e-05,0
9000105,1.5417127e-05,0
9000106,8.104032e-06,0
9000107,5.574489e-06,0
9000108,1.33950425e-05,0
9000109,0.0001830764,0
9000110,0.00020072742,0
9000111,6.931397e-06,0
9000112,4.1350184e-05,0
9000113,0.00011122261,0
9000114,2.268626e-05,0
9000115,2.9181121e-05,0
9000116,2.5469295e-05,0
9000117,0.00016977573,0
9000118,6.411305e-06,0
9000119,7.941582e-06,0
9000120,4.3484365e-06,0
9000121,4.9561073e-05,0
9000122,9.841182e-06,0
9000123,9.020463e-06,0
9000124,0.000113474445,0
9000125,5.8316314e-06,0
9000126,1.8710038e-05,0
9000127,2.9653933e-05,0
9000128,8.774606e-05,0
9000129,2.2137552e-05,0
9000130,1.6496178e-05,0
9000131,0.00038536167,0
9000132,1.0381554e-05,0
9000133,0.000107596854,0
9000134,4.574945e-06,0
9000135,7.2553917e-06,0
9000136,1.7261984e-05,0
9000137,5.2704277e-06,0
9000138,2.9955406e-06,0
9000139,1.9498773e-05,0
9000140,6.812622e-06,0
9000141,8.93801e-05,0
9000142,3.649242e-05,0
9000143,2.3662299e-06,0
9000144,2.8051549e-05,0
9000145,1.9541925e-05,0
9000146,3.1732176e-05,0
9000147,1.5740985e-05,0
9000148,0.00021538846,0
9000149,5.777741e-06,0
9000150,7.99566e-05,0
9000151,2.0881453e-06,0
9000152,1.5163943e-06,0
9000153,0.0004524875,0
9000154,3.776419e-06,0
9000155,3.1264042e-06,0
9000156,6.541697e-06,0
9000157,2.8479847e-06,0
9000158,3.5653568e-06,0
9000159,0.00018198583,0
9000160,2.8918717e-05,0
9000161,4.3484365e-06,0
9000162,5.8154424e-06,0
9000163,0.0001544099,0
9000164,0.00027766565,0
9000165,3.8148974e-06,0
9000166,2.2030338e-06,0
9000167,6.3237276e-05,0
9000168,3.0850456e-06,0
9000169,1.7680335e-05,0
9000170,0.00019765053,0
9000171,0.000153741,0
9000172,2.6254036e-05,0
9000173,1.3083278e-05,0
9000174,3.853408e-05,0
9000175,0.0007363362,0
9000176,7.5910853e-06,0
